"Date","Price","Open","High","Low","Change %"
"May 12, 2013","1.202","1.278","1.295","1.177","-5.73%"
"May 05, 2013","1.275","1.132","1.275","1.113","12.63%"
"Apr 28, 2013","1.132","1.095","1.144","1.040","3.38%"
"Apr 21, 2013","1.095","1.147","1.173","1.076","-3.52%"
"Apr 14, 2013","1.135","1.144","1.194","1.106","-1.13%"
"Apr 07, 2013","1.148","1.108","1.226","1.104","4.36%"
"Mar 31, 2013","1.100","1.064","1.179","1.062","2.52%"
"Mar 24, 2013","1.073","1.195","1.205","1.040","-8.05%"
"Mar 17, 2013","1.167","1.153","1.205","1.126","-6.27%"
"Mar 10, 2013","1.245","1.296","1.320","1.237","-5.82%"
"Mar 03, 2013","1.322","1.199","1.341","1.194","8.72%"
"Feb 24, 2013","1.216","1.385","1.442","1.207","-11.56%"
"Feb 17, 2013","1.375","1.469","1.496","1.365","-6.97%"
"Feb 10, 2013","1.478","1.427","1.524","1.413","3.00%"
"Feb 03, 2013","1.435","1.549","1.550","1.411","-4.14%"
"Jan 27, 2013","1.497","1.476","1.565","1.455","2.75%"
"Jan 20, 2013","1.457","1.391","1.469","1.322","5.35%"
"Jan 13, 2013","1.383","1.446","1.464","1.354","-5.21%"
"Jan 06, 2013","1.459","1.412","1.488","1.341","2.39%"
"Dec 30, 2012","1.425","1.252","1.447","1.241","21.38%"
"Dec 23, 2012","1.174","1.263","1.263","1.164","-6.08%"
"Dec 16, 2012","1.250","1.247","1.328","1.224","2.21%"
"Dec 09, 2012","1.223","1.146","1.247","1.127","4.80%"
"Dec 02, 2012","1.167","1.245","1.325","1.150","-7.45%"
"Nov 25, 2012","1.261","1.310","1.337","1.226","-4.03%"
"Nov 18, 2012","1.314","1.220","1.326","1.210","9.96%"
"Nov 11, 2012","1.195","1.217","1.250","1.189","-2.21%"
"Nov 04, 2012","1.222","1.316","1.345","1.191","-8.40%"
"Oct 28, 2012","1.334","1.392","1.405","1.317","-6.32%"
"Oct 21, 2012","1.424","1.473","1.524","1.390","-3.98%"
